	ctrl1	ctrl2	exp1	exp2
AT1G01010	38.2612269112637	65.2521593365626	53.5511525377008	66.3557465772212
AT1G01020	323.580661878116	286.105621706467	357.315448829141	258.592247690642
AT1G01030	34.9816931760125	25.0969843602164	59.0909269381526	39.0327921042478
AT1G01040	895.312709723571	1009.90265065511	890.057087005923	1128.04769181276
AT1G01046	6.55906747050235	5.01939687204328	4.61647866704317	5.85491881563717
AT1G01050	1541.38085556805	1695.55226337622	1677.62834760349	1925.29247054202
AT1G01060	8078.5847678354	8555.06002871056	18610.8720983178	20985.0048550462
AT1G01070	63.4043188815227	130.504318673125	84.0199117401857	169.792645653478
AT1G01080	2047.52222870848	1840.11089329107	1755.18518920981	1417.8661731868
AT1G01090	3198.63856978165	3025.69243446769	3755.04374777292	3077.73565741994
AT1G01100	2852.10117175677	2509.69843602164	3263.85041759952	1969.2043616593
AT1G01110	32.7953373525118	38.1474162275289	23.0823933352159	35.129512893823
AT1G01120	3726.64350115709	3144.15020064791	4725.42756358539	4110.15300857729
AT1G01130	31.7021594407614	22.0853462369904	51.7045610708835	22.4438554599425
AT1G01140	2540.54546690791	2208.53462369904	3958.16880912281	4155.04071949718
AT1G01150	1.09317791175039	0	0	0
AT1G01160	411.034894818147	373.44312728002	441.335360569327	465.466045843155
AT1G01170	1081.15295472114	1055.0772225035	1222.44355103303	983.626361027044
AT1G01180	374.960023730385	374.447006654428	488.423442973167	544.507449854257
AT1G01183	0	0	0	0
AT1G01190	27.3294477937598	26.100863734625	19.3892104015813	17.5647564469115
AT1G01200	7.65224538225275	15.0581906161298	6.46307013386044	13.6614772364867
AT1G01210	225.194649820581	194.752598635279	206.818244283534	177.599204074327
AT1G01220	529.09810928719	530.04830968777	429.332516035015	468.393505250973
AT1G01225	20.7703803232575	21.0814668625818	25.8522805354418	11.7098376312743
AT1G01230	409.941716906397	410.58666413314	487.500147239759	399.110299265934
AT1G01240	255.803631349592	237.919411734851	385.937616564809	376.666443805991
AT1G01250	21.8635582350078	20.0775874881731	19.3892104015813	28.2987742755796
AT1G01260	151.951729733305	154.597423658933	148.65061307879	164.913546640447
AT1G01270	0	0	0	0
AT1G01280	0	0	0	0
AT1G01290	265.642232555345	274.059069213563	357.315448829141	280.060283347978
AT1G01300	567.359336198454	531.052189062179	407.173418433208	385.448822029447
AT1G01305	0	0	0	0
AT1G01310	3.27953373525118	2.00775874881731	0.923295733408634	0
AT1G01320	8355.15877950825	8340.22984258711	6892.40264989545	8047.58591209329
AT1G01335	0	0	0	0
AT1G01340	253.617275526091	309.194847317866	203.1250613499	179.55084367954
AT1G01350	368.400956259882	279.078466085606	370.241589096862	297.625039794889
AT1G01355	7.65224538225275	5.01939687204328	7.38636586726907	11.7098376312743
AT1G01360	421.966673935651	456.765115355938	523.508680842696	651.847628140938
AT1G01370	24.0499140585086	23.0892256113991	19.3892104015813	22.4438554599425
AT1G01380	10.9317791175039	4.01551749763462	4.61647866704317	5.85491881563717
AT1G01390	107.131435351538	171.66337302388	216.05120161762	336.657831899137
AT1G01400	0	1.00387937440866	0	0
AT1G01410	0	0	0	0
AT1G01420	124.622281939545	124.481042426673	119.105149609714	134.663132759655
AT1G01430	1618.99648730233	1338.17120608674	1969.38979936062	1658.89366443053
AT1G01440	278.76036749635	335.295711052491	260.369396821235	390.327921042478
AT1G01448	214.262870703077	180.698287393558	216.974497351029	224.438554599425
AT1G01450	0	1.00387937440866	0	0
AT1G01453	0	0	0	2.92745940781858
AT1G01460	0	0	0	0
AT1G01470	1554.49899050906	1579.10225594482	2055.25630256762	1843.3236071231
AT1G01480	1.09317791175039	1.00387937440866	2.7698872002259	7.80655842084956
AT1G01490	2650.9564359947	1966.59969446656	5648.72329699402	3730.55910536348
AT1G01500	116.970036557292	110.426731184952	87.7130946738202	90.7512416423761
AT1G01510	573.918403668956	551.129776550352	545.667778444503	680.146402416518
AT1G01520	63.4043188815227	69.2676768341972	177.272780814458	187.357402100389
AT1G01530	1.09317791175039	0	0.923295733408634	0.975819802606195
AT1G01540	3099.15937981236	3206.39072186125	3316.47827440381	4224.32392548222
AT1G01550	2338.30755323409	2087.06521939559	2419.95811726403	2448.33188473894
AT1G01560	438.364342611907	393.520714768193	1124.57420329172	53.6700891433407
AT1G01570	25.143091970259	24.0931049858077	22.1590976018072	26.3471346703673
AT1G01580	17.4908465880063	15.0581906161298	26.7755762688504	32.2020534860044
AT1G01590	92.9201224987833	84.3258674503271	83.0966160067771	84.8963228267389
AT1G01600	8.74542329400314	6.02327624645193	5.5397744004518	7.80655842084956
AT1G01610	1112.8551141619	945.654370692953	1306.46346277322	1115.36203437888
AT1G01620	4333.35724217855	4820.62875591036	6453.83717652635	8139.31297353827
AT1G01630	640.60225628573	656.537110863261	595.525748048569	716.251735112947
AT1G01640	47.0066502052669	81.3142293271011	60.0142226715612	82.9446832215265
AT1G01650	412.128072729898	426.648734123679	441.335360569327	495.716459723947
AT1G01660	36.0748710877629	25.0969843602164	34.1619421361195	36.1053326964292
AT1G01670	38.2612269112637	53.2056068436587	58.1676312047439	45.8635307224912
AT1G01680	47.0066502052669	22.0853462369904	98.7926434747238	15.6131168416991
AT1G01690	25.143091970259	30.1163812322597	28.6221677356677	23.4196752625487
AT1G01695	4.37271164700157	7.02715562086059	5.5397744004518	0.975819802606195
AT1G01700	27.3294477937598	33.1280193554856	31.3920549358936	28.2987742755796
AT1G01710	442.737054258909	443.714683488626	490.270034439985	507.426297355221
AT1G01715	41.5407606465149	43.1668130995722	41.5483080033885	24.3954950651549
AT1G01720	421.966673935651	432.672010370131	595.525748048569	750.405428204164
AT1G01725	148.672195998053	121.469404303447	152.343796012425	132.711493154442
AT1G01730	380.425913289136	340.315107924534	474.574006972038	435.215631962363
AT1G01740	66.6838526167739	61.236641838928	56.3210397379267	71.2348455902522
AT1G01750	4.37271164700157	3.01163812322597	4.61647866704317	3.90327921042478
AT1G01760	16.3976686762559	23.0892256113991	12.0028445343122	37.0811524990354
AT1G01770	221.91511608533	303.171571071414	259.446101087826	322.99635466265
AT1G01780	273.294477937598	225.872859241947	378.55125069754	265.422986308885
AT1G01790	3666.51871601082	3897.0597314544	3228.76517972999	3650.54188154977
AT1G01800	1472.51064712778	1417.47767666502	1339.70210917593	1311.50181470273
AT1G01810	9.83860120575353	6.02327624645193	9.23295733408634	3.90327921042478
AT1G01820	1308.53396036522	1239.79102739469	1276.91799930414	1249.04934733593
AT1G01830	473.34603578792	462.78839160239	550.284257111546	505.474657750009
AT1G01840	16.3976686762559	9.0349143696779	7.38636586726907	5.85491881563717
AT1G01860	134.460883145298	129.500439298717	109.872192275627	138.56641197008
AT1G01870	0	0	0	0
AT1G01880	22.9567361467582	13.0504318673125	18.4659146681727	27.3229544729735
AT1G01890	0	0	0	0
AT1G01900	21.8635582350078	15.0581906161298	14.7727317345381	15.6131168416991
AT1G01910	495.209594022928	499.93192845551	468.110936838178	506.450477552615
AT1G01920	327.953373525118	340.315107924534	283.451790156451	274.205364532341
AT1G01930	267.828588378846	283.093983583241	245.596665086697	285.915202163615
AT1G01940	124.622281939545	144.558629914846	99.7159392081325	87.8237822345575
AT1G01950	374.960023730385	418.617699128409	451.491613636822	529.870152815164
AT1G01960	785.994918548532	932.603938825641	590.909269381526	1018.75587392087
AT1G01970	694.167973961499	633.447885251862	598.295635248795	538.652531038619
AT1G01980	1.09317791175039	0	0	0
AT1G01990	751.013225372519	751.905651432083	830.042864334362	859.697246096058
AT1G02000	287.505790790353	307.187088569049	388.707503765035	393.255380450296
AT1G02010	189.119778732818	241.934929232486	210.511427217169	242.979130848942
AT1G02020	298.437569907857	321.24139981077	272.372241355547	350.319309135624
AT1G02030	0	3.01163812322597	0	0
AT1G02040	6.55906747050235	2.00775874881731	1.84659146681727	0.975819802606195
AT1G02050	180.374355438815	214.830186123452	228.054046151933	245.906590256761
AT1G02060	63.4043188815227	113.438369308178	41.5483080033885	135.638952562261
AT1G02065	1.09317791175039	0	0	0
AT1G02067	0	0	0	0
AT1G02070	0	1.00387937440866	0.923295733408634	4.87909901303097
AT1G02080	824.256145459796	1044.034549385	690.625208589658	1255.88008595417
AT1G02090	548.775311698697	487.885375962607	650.923492053087	508.402117157827
AT1G02100	1000.25778925161	970.75135505317	1113.49465449081	1177.81450174568
AT1G02110	483.184636993673	555.145294047986	590.909269381526	638.186150904451
AT1G02120	1427.69035274601	1829.06822017257	1790.27042707934	1955.54288442281
AT1G02130	556.42755708095	492.90477283465	459.8012752375	566.951305314199
AT1G02136	0	0	0	0
AT1G02140	2011.44735762072	1881.26994764182	2216.83305591413	1740.86252784945
AT1G02145	482.091459081923	400.547870389054	517.045610708835	452.780388409274
AT1G02150	2575.52716008392	2387.22515234378	2636.00931888165	2148.75520533884
AT1G02160	406.662183171146	471.823305972068	481.037077105898	400.08611906854
AT1G02170	534.563998845942	573.215122787342	647.230309119452	589.395160774142
AT1G02180	103.851901616287	93.360781820005	101.56253067495	118.07419611535
AT1G02190	1.09317791175039	0	0	0
AT1G02205	447.10976590591	306.18320919464	766.335458729166	1001.19111747396
AT1G02210	0	0	0	0
AT1G02220	19.6772024115071	17.0659493649471	35.0852378695281	24.3954950651549
AT1G02228	0	0	0	0
AT1G02230	1.09317791175039	1.00387937440866	0	0
AT1G02250	0	1.00387937440866	0	2.92745940781858
AT1G02260	360.748710877629	371.435368531203	302.841000558032	387.400461634659
AT1G02270	346.537398024874	315.218123564318	518.892202175652	250.785689269792
AT1G02280	1926.17948050419	1959.5725388457	1943.53751882517	1892.11459725341
AT1G02290	107.131435351538	144.558629914846	111.718783742445	117.098376312743
AT1G02300	487.557348640675	436.687527867765	308.380774958484	321.044715057438
AT1G02305	2122.95150461926	2145.2902231113	2380.25640072746	2609.34215216896
AT1G02310	5.46588955875196	0	1.84659146681727	0.975819802606195
AT1G02320	0	0	0	0
AT1G02330	376.053201642135	408.578905384323	441.335360569327	411.795956699814
AT1G02335	20.7703803232575	11.0426731184952	29.5454634690763	21.4680356573363
AT1G02340	39.3544048230141	23.0892256113991	70.1704757390562	107.340178286681
AT1G02350	24.0499140585086	18.0698287393558	23.0823933352159	24.3954950651549
AT1G02360	63.4043188815227	59.2288830901107	96.9460520079066	52.6942693407345
AT1G02370	95.1064783222841	89.3452643223703	75.710250139508	47.8151703277035
AT1G02380	135.554061057049	140.543112417212	197.585286949448	188.333221902996
AT1G02390	88.5474108517818	77.2987118294665	85.866503207003	67.3315663798274
AT1G02400	95.1064783222841	85.3297468247357	198.508582682856	24.3954950651549
AT1G02405	18.5840244997567	10.0387937440866	23.0823933352159	16.5889366443053
AT1G02410	430.712097229655	393.520714768193	406.250122699799	400.08611906854
AT1G02420	2.18635582350078	8.03103499526924	0.923295733408634	1.95163960521239
AT1G02430	2.18635582350078	4.01551749763462	2.7698872002259	3.90327921042478
AT1G02440	3.27953373525118	3.01163812322597	4.61647866704317	0.975819802606195
AT1G02450	5.46588955875196	5.01939687204328	0.923295733408634	0.975819802606195
AT1G02460	0	1.00387937440866	4.61647866704317	0
AT1G02470	19.6772024115071	23.0892256113991	26.7755762688504	26.3471346703673
AT1G02475	1326.02480695323	1241.79878614351	1294.4606182389	1123.16859279973
AT1G02480	0	0	0	0
AT1G02490	1.09317791175039	1.00387937440866	0	0
AT1G02500	6081.34872306743	6680.8172366896	6444.60421919227	6664.84925180031
AT1G02510	0	0	0	0
AT1G02520	4.37271164700157	0	11.0795488009036	5.85491881563717
AT1G02530	3.27953373525118	0	0	1.95163960521239
AT1G02540	0	0	0.923295733408634	0
AT1G02550	0	0	0	0
AT1G02560	5363.13083504742	4809.58608279187	5138.14075641905	4448.76248008164
AT1G02570	0	0	0	0
AT1G02575	0	0	0	0
AT1G02580	0	0	0	0
AT1G02590	0	0	0	0
AT1G02600	0	0	0	0
AT1G02610	64.4974967932731	67.2599180853799	233.593820552384	217.607815981181
AT1G02620	1.09317791175039	3.01163812322597	2.7698872002259	4.87909901303097
AT1G02630	2.18635582350078	3.01163812322597	0.923295733408634	0.975819802606195
AT1G02640	83.0815212930298	115.446128056995	150.497204545607	203.946338744695
AT1G02650	8.74542329400314	3.01163812322597	5.5397744004518	9.75819802606195
AT1G02660	74.3360979990267	53.2056068436587	71.0937714724648	125.880754536199
AT1G02670	13.1181349410047	9.0349143696779	6.46307013386044	7.80655842084956
AT1G02680	176.001643791813	172.667252398289	275.142128555773	248.83404966458
